Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8737834287162254
HI-VAE_weibull,80,1.0,1.0,1.0,0.8697506214182091
HI-VAE_weibull,120,1.0,1.0,1.0,0.8677592975180101
HI-VAE_weibull,160,1.0,0.99375,1.0,0.8667083985160993
HI-VAE_weibull,200,1.0,0.995,1.0,0.8662303995851514
HI-VAE_piecewise,40,1.0,1.0,1.0,0.833631575353212
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8291846103321584
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8322678970781012
HI-VAE_piecewise,160,1.0,1.0,1.0,0.829284344788471
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8286361005132682
Surv-GAN,40,0.9,0.775,1.0,0.729485856832506
Surv-GAN,80,0.9375,0.8125,1.0,0.751030497489643
Surv-GAN,120,0.9416666666666667,0.8,1.0,0.7499248764203803
Surv-GAN,160,0.9375,0.8,0.9875,0.7356619928698184
Surv-GAN,200,0.95,0.815,0.99,0.7444193461240897
Surv-VAE,40,0.5,0.175,0.875,0.4618448927930473
Surv-VAE,80,0.5375,0.225,0.9375,0.48947266784091886
Surv-VAE,120,0.5583333333333333,0.21666666666666667,0.9416666666666667,0.4888055358156229
Surv-VAE,160,0.53125,0.20625,0.91875,0.4766509487298731
Surv-VAE,200,0.56,0.22,0.915,0.4825337351773318
HI-VAE_weibull_prior,40,1.0,1.0,1.0,0.865003156586637
HI-VAE_weibull_prior,80,1.0,1.0,1.0,0.8662346301089089
HI-VAE_weibull_prior,120,1.0,1.0,1.0,0.8707244573014825
HI-VAE_weibull_prior,160,1.0,0.99375,1.0,0.8671441827758187
HI-VAE_weibull_prior,200,1.0,0.995,1.0,0.8637269510426965
HI-VAE_piecewise_prior,40,1.0,1.0,1.0,0.8724535087835011
HI-VAE_piecewise_prior,80,1.0,1.0,1.0,0.8689048324756298
HI-VAE_piecewise_prior,120,1.0,1.0,1.0,0.8711556071380203
HI-VAE_piecewise_prior,160,1.0,1.0,1.0,0.8706907550020739
HI-VAE_piecewise_prior,200,1.0,1.0,1.0,0.8722257789066055
