Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.975,1.0,0.8260142004644975
HI-VAE_weibull,80,1.0,0.9875,1.0,0.8319591039613871
HI-VAE_weibull,120,1.0,0.9916666666666667,1.0,0.8350439597671561
HI-VAE_weibull,160,1.0,0.99375,1.0,0.8304938391241226
HI-VAE_weibull,200,1.0,0.995,1.0,0.830917944241802
HI-VAE_piecewise,40,1.0,0.825,1.0,0.8883838050253423
HI-VAE_piecewise,80,1.0,0.8375,1.0,0.8919065955285685
HI-VAE_piecewise,120,1.0,0.8416666666666667,1.0,0.8895307265767329
HI-VAE_piecewise,160,1.0,0.85625,1.0,0.8965301364154253
HI-VAE_piecewise,200,1.0,0.865,1.0,0.8970930202952325
Surv-GAN,40,0.0,0.0,0.075,0.08851328030725991
Surv-GAN,80,0.0,0.0,0.05,0.0892239312717554
Surv-GAN,120,0.0,0.0,0.058333333333333334,0.09114458665905541
Surv-GAN,160,0.0,0.0,0.05,0.08470953994958685
Surv-GAN,200,0.0,0.0,0.05,0.08287300427953012
Surv-VAE,40,0.0,0.0,0.225,0.16056439259094604
Surv-VAE,80,0.0125,0.0,0.1875,0.16063439321169093
Surv-VAE,120,0.008333333333333333,0.0,0.15,0.15072585889952742
Surv-VAE,160,0.0125,0.0,0.1625,0.1590739953050404
Surv-VAE,200,0.025,0.0,0.17,0.16162138728425518
HI-VAE_weibull_diffusion,40,0.925,1.0,1.0,0.6163780929091573
HI-VAE_weibull_diffusion,80,0.9375,1.0,1.0,0.6168183315923355
HI-VAE_weibull_diffusion,120,0.9,1.0,1.0,0.6087566436635223
HI-VAE_weibull_diffusion,160,0.8875,1.0,1.0,0.6037120159903384
HI-VAE_weibull_diffusion,200,0.905,1.0,1.0,0.6055690119716752
HI-VAE_piecewise_diffusion,40,1.0,0.95,1.0,0.8424124604119008
HI-VAE_piecewise_diffusion,80,1.0,0.975,1.0,0.8629852914231073
HI-VAE_piecewise_diffusion,120,1.0,0.975,1.0,0.8619818470294077
HI-VAE_piecewise_diffusion,160,1.0,0.975,1.0,0.8602433808077647
HI-VAE_piecewise_diffusion,200,1.0,0.98,1.0,0.8607682845230505
