Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.975,1.0,1.0,0.7979276250831865
HI-VAE_weibull,80,0.9875,1.0,1.0,0.7761121827357161
HI-VAE_weibull,120,0.9916666666666667,1.0,1.0,0.7759538877536587
HI-VAE_weibull,160,0.9875,1.0,1.0,0.77320918724224
HI-VAE_weibull,200,0.985,1.0,1.0,0.771560952218652
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8881511825731618
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8790077202130409
HI-VAE_piecewise,120,1.0,1.0,1.0,0.878984877741021
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8735750082704264
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8771440024948625
Surv-GAN,40,1.0,0.8,1.0,0.8533074808414055
Surv-GAN,80,1.0,0.8375,1.0,0.8554230704243919
Surv-GAN,120,1.0,0.8333333333333334,1.0,0.8498055578633069
Surv-GAN,160,1.0,0.8625,1.0,0.8506454477204841
Surv-GAN,200,1.0,0.855,1.0,0.8506339093415127
Surv-VAE,40,0.975,0.775,1.0,0.8128974974986409
Surv-VAE,80,0.975,0.775,1.0,0.8100826742996535
Surv-VAE,120,0.975,0.7416666666666667,1.0,0.8097503671739882
Surv-VAE,160,0.975,0.7375,1.0,0.8004088142082383
Surv-VAE,200,0.975,0.745,1.0,0.8036222372267491
HI-VAE_weibull_diffusion,40,0.975,1.0,1.0,0.7253379293490667
HI-VAE_weibull_diffusion,80,0.9625,1.0,1.0,0.6966954673140263
HI-VAE_weibull_diffusion,120,0.95,1.0,1.0,0.681959763799989
HI-VAE_weibull_diffusion,160,0.9625,1.0,1.0,0.6825569340508726
HI-VAE_weibull_diffusion,200,0.96,1.0,1.0,0.6817249842858014
HI-VAE_piecewise_diffusion,40,1.0,1.0,1.0,0.9004010308961721
HI-VAE_piecewise_diffusion,80,1.0,0.975,1.0,0.8920342173939912
HI-VAE_piecewise_diffusion,120,1.0,0.9833333333333333,1.0,0.8971647758449373
HI-VAE_piecewise_diffusion,160,1.0,0.98125,1.0,0.8912339805614273
HI-VAE_piecewise_diffusion,200,1.0,0.985,1.0,0.8917297917149746
