Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.7995594395776747
HI-VAE_weibull,80,1.0,1.0,1.0,0.8119395630081042
HI-VAE_weibull,120,1.0,1.0,1.0,0.8100653481719414
HI-VAE_weibull,160,1.0,1.0,1.0,0.8110714064851114
HI-VAE_weibull,200,1.0,1.0,1.0,0.8114678080542964
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8581878039128215
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8387685101109732
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8387798967607323
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8410960916323218
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8427184733643799
Surv-GAN,40,0.85,0.175,0.95,0.77251700324659
Surv-GAN,80,0.75,0.125,0.8875,0.7207113168463968
Surv-GAN,120,0.7666666666666667,0.15833333333333333,0.8916666666666667,0.7197061410030934
Surv-GAN,160,0.775,0.16875,0.9125,0.728341177150026
Surv-GAN,200,0.78,0.155,0.925,0.730517580487333
Surv-VAE,40,0.0,0.0,0.0,0.0
Surv-VAE,80,0.0,0.0,0.0,0.0
Surv-VAE,120,0.0,0.0,0.0,0.0
Surv-VAE,160,0.0,0.0,0.0,0.0
Surv-VAE,200,0.0,0.0,0.0,0.0
