Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.870537399349749
HI-VAE_weibull,80,1.0,1.0,1.0,0.865562663321272
HI-VAE_weibull,120,1.0,1.0,1.0,0.8620350182226344
HI-VAE_weibull,160,1.0,1.0,1.0,0.8642012240922989
HI-VAE_weibull,200,1.0,1.0,1.0,0.8652883420149879
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8287769479451897
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8352210966746034
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8389389035406931
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8404778397889425
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8372405117000238
Surv-GAN,40,0.05,0.0,0.55,0.28341410926100574
Surv-GAN,80,0.075,0.0,0.4,0.24953451618134498
Surv-GAN,120,0.06666666666666667,0.0,0.4166666666666667,0.2558295206803976
Surv-GAN,160,0.075,0.00625,0.41875,0.2591937337879574
Surv-GAN,200,0.075,0.005,0.415,0.25511632517661614
Surv-VAE,40,0.0,0.0,0.05,0.056459425036478106
Surv-VAE,80,0.0,0.0,0.0375,0.040375759867307195
Surv-VAE,120,0.0,0.0,0.025,0.04111180177930069
Surv-VAE,160,0.0,0.0,0.01875,0.0369991835904261
Surv-VAE,200,0.0,0.0,0.015,0.036638928474354404
HI-VAE_weibull_diffusion,40,0.975,1.0,1.0,0.6537970526849927
HI-VAE_weibull_diffusion,80,0.975,1.0,1.0,0.6755392924636563
HI-VAE_weibull_diffusion,120,0.9833333333333333,1.0,1.0,0.6661448706622348
HI-VAE_weibull_diffusion,160,0.975,1.0,1.0,0.6541561638899591
HI-VAE_weibull_diffusion,200,0.97,1.0,1.0,0.64994810096407
HI-VAE_piecewise_diffusion,40,1.0,0.975,1.0,0.8083892174470199
HI-VAE_piecewise_diffusion,80,1.0,0.9875,1.0,0.811771100769603
HI-VAE_piecewise_diffusion,120,1.0,0.9833333333333333,1.0,0.8168400489537285
HI-VAE_piecewise_diffusion,160,1.0,0.975,1.0,0.8174634939670946
HI-VAE_piecewise_diffusion,200,1.0,0.97,1.0,0.8147802537410779
