Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8702302830875219
HI-VAE_weibull,80,1.0,1.0,1.0,0.8627501502439829
HI-VAE_weibull,120,1.0,1.0,1.0,0.8687778527372381
HI-VAE_weibull,160,0.99375,1.0,1.0,0.8691758883108147
HI-VAE_weibull,200,0.995,1.0,1.0,0.8665070119220288
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8889058748498293
HI-VAE_piecewise,80,1.0,0.9875,1.0,0.8821161800993373
HI-VAE_piecewise,120,0.9916666666666667,0.9833333333333333,1.0,0.8817235603722299
HI-VAE_piecewise,160,0.99375,0.98125,1.0,0.8854578975403508
HI-VAE_piecewise,200,0.995,0.975,1.0,0.8857350501775262
Surv-GAN,40,1.0,1.0,1.0,0.9745351733381075
Surv-GAN,80,1.0,1.0,1.0,0.9743105613987902
Surv-GAN,120,1.0,1.0,1.0,0.9720158076375961
Surv-GAN,160,1.0,1.0,1.0,0.9726726042396463
Surv-GAN,200,1.0,1.0,1.0,0.9722365310653355
Surv-VAE,40,1.0,1.0,1.0,0.8833444069964216
Surv-VAE,80,1.0,1.0,1.0,0.8788307741767858
Surv-VAE,120,1.0,1.0,1.0,0.8843293857068001
Surv-VAE,160,1.0,0.9875,1.0,0.8828240172974711
Surv-VAE,200,1.0,0.985,1.0,0.8798198393901225
HI-VAE_weibull_prior,40,1.0,0.975,1.0,0.8695947101347914
HI-VAE_weibull_prior,80,1.0,0.95,1.0,0.8797051739425775
HI-VAE_weibull_prior,120,1.0,0.9416666666666667,1.0,0.8790727210056276
HI-VAE_weibull_prior,160,1.0,0.94375,1.0,0.8758087173869973
HI-VAE_weibull_prior,200,1.0,0.945,1.0,0.8794463999695019
HI-VAE_piecewise_prior,40,1.0,1.0,1.0,0.9052977268794858
HI-VAE_piecewise_prior,80,0.9875,0.95,1.0,0.8779522158128639
HI-VAE_piecewise_prior,120,0.9916666666666667,0.9583333333333334,1.0,0.8840793519302537
HI-VAE_piecewise_prior,160,0.99375,0.96875,1.0,0.8896996113041
HI-VAE_piecewise_prior,200,0.995,0.97,1.0,0.8898698710497713
