Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.825,0.975,0.975,0.6833190590979903
HI-VAE_weibull,80,0.875,0.9875,0.975,0.6836671753073142
HI-VAE_weibull,120,0.8916666666666667,0.975,0.9833333333333333,0.6913972009662498
HI-VAE_weibull,160,0.88125,0.98125,0.98125,0.6835355411059859
HI-VAE_weibull,200,0.875,0.985,0.985,0.6840762763929028
HI-VAE_piecewise,40,0.875,1.0,1.0,0.7028064191402216
HI-VAE_piecewise,80,0.9,0.9875,1.0,0.7172444861213715
HI-VAE_piecewise,120,0.9083333333333333,0.9833333333333333,0.9916666666666667,0.7243623955297941
HI-VAE_piecewise,160,0.91875,0.98125,0.99375,0.7281539103004266
HI-VAE_piecewise,200,0.91,0.985,0.995,0.7195059150151272
Surv-GAN,40,0.975,0.025,1.0,0.7610637760143124
Surv-GAN,80,0.975,0.05,1.0,0.7499535735579724
Surv-GAN,120,0.9833333333333333,0.041666666666666664,1.0,0.7428905744674793
Surv-GAN,160,0.96875,0.04375,1.0,0.7340746620378815
Surv-GAN,200,0.975,0.04,1.0,0.732836775849598
Surv-VAE,40,0.775,0.325,0.925,0.7067598370689561
Surv-VAE,80,0.75,0.275,0.9625,0.6926797403551245
Surv-VAE,120,0.7583333333333333,0.2833333333333333,0.9666666666666667,0.7033651929108028
Surv-VAE,160,0.775,0.28125,0.9625,0.7042843009809308
Surv-VAE,200,0.785,0.28,0.965,0.7091033269033836
HI-VAE_weibull_prior,40,0.975,0.9,1.0,0.7825229169063906
HI-VAE_weibull_prior,80,0.9875,0.8875,1.0,0.8065853670444589
HI-VAE_weibull_prior,120,0.9916666666666667,0.8916666666666667,1.0,0.8157332616765469
HI-VAE_weibull_prior,160,0.9875,0.8875,1.0,0.8158937644551892
HI-VAE_weibull_prior,200,0.985,0.9,1.0,0.8133148802918366
HI-VAE_piecewise_prior,40,1.0,0.875,1.0,0.8431027820479434
HI-VAE_piecewise_prior,80,0.9875,0.8875,1.0,0.8382315609004056
HI-VAE_piecewise_prior,120,0.9916666666666667,0.925,1.0,0.8252534376169767
HI-VAE_piecewise_prior,160,0.975,0.9375,1.0,0.8127480518032849
HI-VAE_piecewise_prior,200,0.97,0.935,1.0,0.8093230512647537
