Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.9,1.0,0.9016076000469381
HI-VAE_weibull,80,1.0,0.8625,1.0,0.8879838515507219
HI-VAE_weibull,120,1.0,0.8666666666666667,1.0,0.8844075671862225
HI-VAE_weibull,160,1.0,0.85625,1.0,0.88061644862535
HI-VAE_weibull,200,1.0,0.85,1.0,0.8757956557315151
HI-VAE_piecewise,40,1.0,0.925,1.0,0.8871427252939252
HI-VAE_piecewise,80,1.0,0.9125,1.0,0.8967474206413479
HI-VAE_piecewise,120,1.0,0.9333333333333333,1.0,0.8927315296603113
HI-VAE_piecewise,160,1.0,0.93125,1.0,0.8918315554476447
HI-VAE_piecewise,200,1.0,0.92,1.0,0.8894554669393183
Surv-GAN,40,0.0,1.0,0.0,0.0
Surv-GAN,80,0.0,1.0,0.0,0.0
Surv-GAN,120,0.0,1.0,0.0,0.0
Surv-GAN,160,0.0,1.0,0.0,0.0
Surv-GAN,200,0.0,1.0,0.0,0.0
Surv-VAE,40,0.0,1.0,0.0,0.0
Surv-VAE,80,0.0,1.0,0.0,0.0007864357557905946
Surv-VAE,120,0.0,1.0,0.0,0.0005242905038603964
Surv-VAE,160,0.0,1.0,0.0,0.0003932178778952973
Surv-VAE,200,0.0,1.0,0.0,0.0003145743023162378
