Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.95,0.525,1.0,0.657045617710762
HI-VAE_weibull,80,0.9125,0.4625,1.0,0.6376173887214371
HI-VAE_weibull,120,0.9333333333333333,0.48333333333333334,1.0,0.6416597654553651
HI-VAE_weibull,160,0.93125,0.5,1.0,0.6405148981014289
HI-VAE_weibull,200,0.93,0.505,1.0,0.6425686072287498
HI-VAE_piecewise,40,1.0,0.95,1.0,0.811461283733502
HI-VAE_piecewise,80,1.0,0.975,1.0,0.8111382443158079
HI-VAE_piecewise,120,1.0,0.9833333333333333,1.0,0.8122425079497536
HI-VAE_piecewise,160,1.0,0.9875,1.0,0.8185317323183714
HI-VAE_piecewise,200,1.0,0.985,1.0,0.8185276684236494
Surv-GAN,40,0.0,0.0,0.025,0.03157455071654418
Surv-GAN,80,0.0,0.0,0.0375,0.04186403807073762
Surv-GAN,120,0.0,0.0,0.025,0.037632485179305175
Surv-GAN,160,0.0,0.0,0.03125,0.036115339418893846
Surv-GAN,200,0.0,0.0,0.05,0.04026442683743539
Surv-VAE,40,0.975,0.875,1.0,0.6972083933862224
Surv-VAE,80,0.975,0.9,1.0,0.7033211874353404
Surv-VAE,120,0.9833333333333333,0.925,1.0,0.7108952431568366
Surv-VAE,160,0.9875,0.9,1.0,0.7116068290711586
Surv-VAE,200,0.99,0.91,1.0,0.7136508989624923
HI-VAE_weibull_prior,40,1.0,1.0,1.0,0.825194416633898
HI-VAE_weibull_prior,80,1.0,0.975,1.0,0.8177264665314038
HI-VAE_weibull_prior,120,1.0,0.9833333333333333,1.0,0.8222299383779144
HI-VAE_weibull_prior,160,1.0,0.9875,1.0,0.824122793504402
HI-VAE_weibull_prior,200,1.0,0.99,1.0,0.8235602850855847
HI-VAE_piecewise_prior,40,0.675,0.3,0.975,0.5249332159408553
HI-VAE_piecewise_prior,80,0.675,0.1875,0.9875,0.5042518773896383
HI-VAE_piecewise_prior,120,0.675,0.21666666666666667,0.975,0.5051332973756881
HI-VAE_piecewise_prior,160,0.6375,0.19375,0.96875,0.4943689090755606
HI-VAE_piecewise_prior,200,0.635,0.215,0.955,0.4979195587933025
