Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.925,1.0,0.8309092543129692
HI-VAE_weibull,80,1.0,0.8875,1.0,0.8260912003258948
HI-VAE_weibull,120,1.0,0.9166666666666666,1.0,0.8391984612912026
HI-VAE_weibull,160,1.0,0.90625,1.0,0.8444284903387924
HI-VAE_weibull,200,1.0,0.91,1.0,0.8417222788713447
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8184667843118592
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8333001396232748
HI-VAE_piecewise,120,0.9916666666666667,0.9916666666666667,1.0,0.823424402125134
HI-VAE_piecewise,160,0.99375,0.975,1.0,0.8287526230025926
HI-VAE_piecewise,200,0.995,0.98,1.0,0.8328027541943678
Surv-GAN,40,0.0,0.0,0.0,0.0
Surv-GAN,80,0.0,0.0,0.0,0.0
Surv-GAN,120,0.0,0.0,0.0,0.0
Surv-GAN,160,0.0,0.0,0.0,0.0
Surv-GAN,200,0.0,0.0,0.0,0.0
Surv-VAE,40,0.0,0.0,0.0,0.014502926115588946
Surv-VAE,80,0.0,0.0,0.0,0.015964579261479296
Surv-VAE,120,0.0,0.0,0.0,0.011572935132121822
Surv-VAE,160,0.0,0.0,0.0,0.011068896918407562
Surv-VAE,200,0.0,0.0,0.0,0.014337282689204778
HI-VAE_weibull_diffusion,40,0.925,0.725,1.0,0.7425604488094989
HI-VAE_weibull_diffusion,80,0.8875,0.6875,1.0,0.7256919245853072
HI-VAE_weibull_diffusion,120,0.9166666666666666,0.7166666666666667,1.0,0.7466794344976023
HI-VAE_weibull_diffusion,160,0.93125,0.73125,1.0,0.7543979239225801
HI-VAE_weibull_diffusion,200,0.93,0.71,1.0,0.7499752370195079
HI-VAE_piecewise_diffusion,40,0.45,0.2,0.875,0.4810405785020605
HI-VAE_piecewise_diffusion,80,0.4375,0.15,0.8125,0.45042720621746113
HI-VAE_piecewise_diffusion,120,0.45,0.125,0.8333333333333334,0.4552473574540333
HI-VAE_piecewise_diffusion,160,0.43125,0.125,0.8375,0.44507335583553476
HI-VAE_piecewise_diffusion,200,0.435,0.11,0.85,0.44571016287137866
