Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8487257129736345
HI-VAE_weibull,80,1.0,1.0,1.0,0.8528231780281699
HI-VAE_weibull,120,1.0,1.0,1.0,0.8538268552271032
HI-VAE_weibull,160,1.0,0.99375,1.0,0.8523638645741707
HI-VAE_weibull,200,1.0,0.995,1.0,0.8548016263061418
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8796568564644082
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8809463649175349
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8776438169842277
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8755725244987328
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8749247669856932
Surv-GAN,40,0.3,0.475,0.825,0.42226989571782825
Surv-GAN,80,0.2125,0.4,0.8,0.40839812545024373
Surv-GAN,120,0.21666666666666667,0.4083333333333333,0.7916666666666666,0.4052854885901521
Surv-GAN,160,0.225,0.4125,0.80625,0.4071551308341436
Surv-GAN,200,0.21,0.395,0.8,0.4046769489171155
Surv-VAE,40,1.0,1.0,1.0,0.8641222003594693
Surv-VAE,80,1.0,1.0,1.0,0.8601175640078189
Surv-VAE,120,1.0,1.0,1.0,0.8756415545191818
Surv-VAE,160,1.0,1.0,1.0,0.8733909639758324
Surv-VAE,200,1.0,1.0,1.0,0.8697173379198955
HI-VAE_weibull_prior,40,1.0,1.0,1.0,0.867539712540973
HI-VAE_weibull_prior,80,0.9875,0.9875,1.0,0.8757929546047866
HI-VAE_weibull_prior,120,0.9916666666666667,0.9916666666666667,1.0,0.8755568526346594
HI-VAE_weibull_prior,160,0.99375,0.99375,1.0,0.8708778439856528
HI-VAE_weibull_prior,200,0.995,0.995,1.0,0.8713669575515862
HI-VAE_piecewise_prior,40,1.0,0.975,1.0,0.8312730554475645
HI-VAE_piecewise_prior,80,1.0,0.9875,1.0,0.8540194070689197
HI-VAE_piecewise_prior,120,0.9916666666666667,0.9833333333333333,1.0,0.8631200923597765
HI-VAE_piecewise_prior,160,0.99375,0.9875,1.0,0.8615613885672486
HI-VAE_piecewise_prior,200,0.995,0.99,1.0,0.8574839246111814
