Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8419069354442248
HI-VAE_weibull,80,1.0,1.0,1.0,0.8357400939926658
HI-VAE_weibull,120,1.0,1.0,1.0,0.8345567927443712
HI-VAE_weibull,160,1.0,1.0,1.0,0.8389692873056986
HI-VAE_weibull,200,1.0,1.0,1.0,0.8405360804891159
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8828477609699116
HI-VAE_piecewise,80,1.0,1.0,1.0,0.874610448846299
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8802026425173097
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8753309662096364
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8749286040683846
Surv-GAN,40,0.975,0.55,1.0,0.6989566177512571
Surv-GAN,80,0.9625,0.6125,0.9875,0.7096371814313804
Surv-GAN,120,0.975,0.6583333333333333,0.9916666666666667,0.7191812231054029
Surv-GAN,160,0.975,0.675,0.99375,0.7272262258147839
Surv-GAN,200,0.98,0.67,0.995,0.7244498805324722
Surv-VAE,40,0.475,0.05,0.95,0.47309076006300693
Surv-VAE,80,0.425,0.0375,0.9,0.44640883092164085
Surv-VAE,120,0.35,0.025,0.8166666666666667,0.41422691111493676
Surv-VAE,160,0.35,0.01875,0.84375,0.4185279124180701
Surv-VAE,200,0.375,0.015,0.865,0.42673448942421666
HI-VAE_weibull_diffusion,40,1.0,0.975,1.0,0.8822999064928988
HI-VAE_weibull_diffusion,80,1.0,0.9875,1.0,0.8860391040328132
HI-VAE_weibull_diffusion,120,1.0,0.9916666666666667,1.0,0.8870009795083951
HI-VAE_weibull_diffusion,160,1.0,0.99375,1.0,0.8853472426724356
HI-VAE_weibull_diffusion,200,1.0,0.995,1.0,0.8861688818997646
HI-VAE_piecewise_diffusion,40,1.0,1.0,1.0,0.850182171841246
HI-VAE_piecewise_diffusion,80,1.0,1.0,1.0,0.8501318991746005
HI-VAE_piecewise_diffusion,120,1.0,1.0,1.0,0.8376878267611194
HI-VAE_piecewise_diffusion,160,1.0,1.0,1.0,0.8410456818482718
HI-VAE_piecewise_diffusion,200,1.0,1.0,1.0,0.8401130536157855
