Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.975,1.0,0.892533150199902
HI-VAE_weibull,80,1.0,0.975,1.0,0.8929583240537369
HI-VAE_weibull,120,1.0,0.9833333333333333,1.0,0.8879479601222912
HI-VAE_weibull,160,1.0,0.9875,1.0,0.8844358191947601
HI-VAE_weibull,200,1.0,0.99,1.0,0.8879664352677795
HI-VAE_piecewise,40,1.0,0.925,1.0,0.8576012985100171
HI-VAE_piecewise,80,1.0,0.9375,1.0,0.8625862218515946
HI-VAE_piecewise,120,1.0,0.9416666666666667,1.0,0.8647758978361261
HI-VAE_piecewise,160,1.0,0.95,1.0,0.8647015666364221
HI-VAE_piecewise,200,1.0,0.945,1.0,0.8637838032934791
Surv-GAN,40,1.0,1.0,1.0,0.8053635148730001
Surv-GAN,80,0.9875,1.0,1.0,0.8150888675927274
Surv-GAN,120,0.9916666666666667,1.0,1.0,0.8214406461760883
Surv-GAN,160,0.99375,1.0,1.0,0.8212461147712757
Surv-GAN,200,0.995,1.0,1.0,0.8189000657659841
Surv-VAE,40,0.95,0.775,1.0,0.7678148966998698
Surv-VAE,80,0.9625,0.8,1.0,0.7685313027868539
Surv-VAE,120,0.9583333333333334,0.775,1.0,0.7624280092405215
Surv-VAE,160,0.9625,0.7625,1.0,0.7590359604356293
Surv-VAE,200,0.965,0.74,1.0,0.7565159326076887
HI-VAE_weibull_diffusion,40,0.35,0.575,0.8,0.41297113877424996
HI-VAE_weibull_diffusion,80,0.35,0.5875,0.85,0.4181386089058476
HI-VAE_weibull_diffusion,120,0.36666666666666664,0.6333333333333333,0.8583333333333333,0.4291733662194738
HI-VAE_weibull_diffusion,160,0.40625,0.68125,0.89375,0.43936643626570604
HI-VAE_weibull_diffusion,200,0.415,0.68,0.905,0.445270755588779
HI-VAE_piecewise_diffusion,40,0.025,0.125,0.3,0.20736606513854397
HI-VAE_piecewise_diffusion,80,0.0125,0.1125,0.3375,0.22284751835697172
HI-VAE_piecewise_diffusion,120,0.03333333333333333,0.15833333333333333,0.36666666666666664,0.23037757771871778
HI-VAE_piecewise_diffusion,160,0.0375,0.15625,0.35,0.22565268534404065
HI-VAE_piecewise_diffusion,200,0.03,0.145,0.335,0.22088059937866553
