Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8760638992040685
HI-VAE_weibull,80,0.9875,0.9875,1.0,0.8637171481692372
HI-VAE_weibull,120,0.9833333333333333,0.9833333333333333,1.0,0.8563827370301724
HI-VAE_weibull,160,0.9875,0.9875,1.0,0.8641342172220176
HI-VAE_weibull,200,0.99,0.99,1.0,0.8700936947862065
HI-VAE_piecewise,40,0.975,0.975,1.0,0.8442610522389801
HI-VAE_piecewise,80,0.9875,0.9875,1.0,0.859256609200737
HI-VAE_piecewise,120,0.9916666666666667,0.9916666666666667,1.0,0.864287905245684
HI-VAE_piecewise,160,0.99375,0.99375,1.0,0.8627589303934468
HI-VAE_piecewise,200,0.995,0.995,1.0,0.8594605790594114
Surv-GAN,40,0.0,0.05,0.475,0.2722715167632052
Surv-GAN,80,0.025,0.0875,0.4375,0.2890122786109648
Surv-GAN,120,0.025,0.08333333333333333,0.4166666666666667,0.2836307805600115
Surv-GAN,160,0.0375,0.09375,0.46875,0.293082563698687
Surv-GAN,200,0.035,0.085,0.475,0.2891250904913447
Surv-VAE,40,0.975,0.975,1.0,0.8527050618910478
Surv-VAE,80,0.975,0.9875,1.0,0.8449043420252991
Surv-VAE,120,0.9833333333333333,0.9916666666666667,1.0,0.8559184577365272
Surv-VAE,160,0.9875,0.99375,1.0,0.8477428106170137
Surv-VAE,200,0.985,0.99,1.0,0.8529310049580583
HI-VAE_weibull_prior,40,1.0,0.975,1.0,0.8248784940458641
HI-VAE_weibull_prior,80,0.9875,0.9625,1.0,0.8237660132115119
HI-VAE_weibull_prior,120,0.9916666666666667,0.975,1.0,0.8319842347798246
HI-VAE_weibull_prior,160,0.98125,0.96875,1.0,0.8301734526474057
HI-VAE_weibull_prior,200,0.985,0.975,1.0,0.8270407992670183
HI-VAE_piecewise_prior,40,1.0,1.0,1.0,0.8543760024857585
HI-VAE_piecewise_prior,80,1.0,1.0,1.0,0.8496237914100131
HI-VAE_piecewise_prior,120,1.0,1.0,1.0,0.8602955271051974
HI-VAE_piecewise_prior,160,1.0,1.0,1.0,0.8582950759125723
HI-VAE_piecewise_prior,200,1.0,1.0,1.0,0.8651074803666274
